month,samp_event,dist
Jan-97,0,0
Feb-97,1,0.44063
Mar-97,2,0.73665
Apr-97,3,0.46833
May-97,4,0.48196
Jun-97,5,0.54335
Jul-97,6,0.36765
Aug-97,7,0.68553
Sep-97,8,0.79922
Oct-97,9,0.567
Nov-97,10,0.77162
Dec-97,11,0.67426
Jan-98,12,0.43956
Feb-98,13,0.56612
Mar-98,14,0.8088
Apr-98,15,0.76612
May-98,16,0.67864
Jun-98,17,0.64695
Jul-98,18,0.56572
Aug-98,19,0.61064
Sep-98,20,0.58095
Oct-98,21,0.54679
Nov-98,22,0.67431
Dec-98,23,0.82689
Jan-99,24,0.49645
Feb-99,25,0.55973
Mar-99,26,0.42148
Apr-99,27,0.83526
May-99,28,0.63549
Jun-99,29,0.89947
Jul-99,30,0.56079
Aug-99,31,0.64848
Sep-99,32,0.39408
Oct-99,33,0.23265
Nov-99,34,0.51515
Dec-99,35,0.70088
Jan-00,36,0.7301
Feb-00,37,0.73814
Mar-00,38,0.71875
Apr-00,39,0.59619
May-00,40,0.47791
Jun-00,41,0.49344
Jul-00,42,0.53333
Aug-00,43,0.42581
Sep-00,44,0.46988
Oct-00,45,0.74262
Nov-00,46,0.69951
Dec-00,47,0.6303
1-Jan,48,0.30396
1-Feb,49,0.75728
1-Mar,50,0.76972
1-Apr,51,0.63415
1-May,52,0.62191
1-Jun,53,0.53485
1-Jul,54,0.27329
1-Aug,55,0.32512
1-Sep,56,0.74266
1-Oct,57,0.69643
1-Nov,58,0.74868
1-Dec,59,0.84861
2-Jan,60,0.77778
2-Feb,61,0.70718
2-Mar,62,0.75959
2-Apr,63,0.46612
2-May,64,0.47805
2-Jun,65,0.67826
2-Jul,66,0.52893
2-Aug,67,0.47407
2-Sep,68,0.55385
2-Oct,69,0.42458
2-Nov,70,0.63208
2-Dec,71,0.5625
3-Jan,72,0.52722
3-Feb,73,0.81838
3-Mar,74,0.75803
3-Apr,75,0.72683
3-May,76,0.75
3-Jun,77,0.62911
3-Jul,78,0.49351
3-Aug,79,0.73835
3-Sep,80,0.74157
3-Oct,81,0.7101
3-Nov,82,0.81343
3-Dec,83,0.58442
4-Jan,84,0.80287
4-Feb,85,0.56941
4-May,86,0.48504
Set04,87,0.62857
5-Feb,88,0.48875
5-May,89,0.79805
Set05,90,0.72376
6-Feb,91,0.40517
6-May,92,0.6988
6-Oct,93,0.6747
7-Feb,94,0.24444
7-May,95,0.84751
Set07,96,0.57403
8-Feb,97,0.52915
8-May,98,0.26129
Set08,99,0.48429
9-Feb,100,0.73279
9-May,101,0.56633
9-Sep,102,0.79295
10-Feb,103,0.35714
10-May,104,0.35971
10-Sep,105,0.085106
11-Feb,106,0.44444
11-May,107,0.30303
11-Sep,108,0.68657
